BEGIN		 (-1, -1)
int		 (-1, -1)
x		 (0, 0)
;		 (-1, -1)
int		 (-1, -1)
y		 (1, 0)
;		 (-1, -1)
int		 (-1, -1)
z		 (2, 0)
;		 (-1, -1)
int		 (-1, -1)
max		 (6, 0)
=		 (-1, -1)
;		 (-1, -1)
read		 (-1, -1)
(		 (-1, -1)
x		 (0, 0)
)		 (-1, -1)
;		 (-1, -1)
read		 (-1, -1)
(		 (-1, -1)
y		 (1, 0)
)		 (-1, -1)
;		 (-1, -1)
read		 (-1, -1)
(		 (-1, -1)
z		 (2, 0)
)		 (-1, -1)
;		 (-1, -1)
if		 (-1, -1)
(		 (-1, -1)
x		 (0, 0)
>=		 (-1, -1)
y		 (1, 0)
and		 (-1, -1)
y		 (1, 0)
>=		 (-1, -1)
z		 (2, 0)
)		 (-1, -1)
{		 (-1, -1)
max		 (6, 0)
=		 (-1, -1)
x		 (0, 0)
;		 (-1, -1)
}		 (-1, -1)
else		 (-1, -1)
if		 (-1, -1)
(		 (-1, -1)
y		 (1, 0)
>=		 (-1, -1)
z		 (2, 0)
and		 (-1, -1)
y		 (1, 0)
>=		 (-1, -1)
z		 (2, 0)
)		 (-1, -1)
{		 (-1, -1)
max		 (6, 0)
=		 (-1, -1)
y		 (1, 0)
;		 (-1, -1)
}		 (-1, -1)
else		 (-1, -1)
{		 (-1, -1)
max		 (6, 0)
=		 (-1, -1)
z		 (2, 0)
;		 (-1, -1)
}		 (-1, -1)
write		 (-1, -1)
(		 (-1, -1)
max		 (6, 0)
)		 (-1, -1)
;		 (-1, -1)
END		 (-1, -1)
